,created_at,text,id,likes,Above100
0,2021-06-15 00:20:35+00:00,@MileyCyrus 133T H4X0R got my phone. Nuthin I could do. Sorry babe.,1404594649482858496,11721,Hot
1,2021-06-14 09:22:23+00:00,@tobyliiiiiiiiii @f_rmnn Cool,1404368609502134276,8286,Hot
2,2021-06-14 09:15:58+00:00,@FOXSports Epic dog,1404366995907256320,5247,Hot
3,2021-06-14 08:22:48+00:00,K is Kindred,1404353618518499329,34554,Hot
4,2021-06-14 08:21:46+00:00,Could turn out to be one big Philip K Dick joke in the end,1404353357469212673,60785,Hot
5,2021-06-14 08:13:50+00:00,"Pluto takes 248 years to orbit the sun, but Uranus only takes 84",1404351360644964355,200194,Hot
6,2021-06-14 07:19:13+00:00,"@lexfridman The aliens would say “So Long, and Thanks for the Orifice!”",1404337616296681472,4292,Hot
7,2021-06-14 07:15:20+00:00,@leastImAlive @PPathole Decided to sell my last remaining house. Just needs to go to a large family who will live there. It’s a special place.,1404336639938154497,5897,Hot
8,2021-06-14 07:12:55+00:00,"@PPathole @DELTA_V @spacex360 After several successful launches, land overflight earlier in trajectory passes E-sub-c safety threshold. That said, Starship will also launch from Cape long-term.",1404336029776027651,2768,Hot
9,2021-06-14 06:52:53+00:00,@DELTA_V @spacex360 So much more is needed for life to become multiplanetary,1404330986951766021,1834,Hot
10,2021-06-14 05:04:50+00:00,!! https://t.co/3H9gMEmSLF,1404303796075859974,337012,Hot
11,2021-06-14 04:02:55+00:00,This is true https://t.co/72u3SrBf6U,1404288216400764940,79254,Hot
12,2021-06-14 04:01:27+00:00,Our Soul Dichotomy https://t.co/D4PC5XK2VK,1404287845028667397,80040,Hot
13,2021-06-13 21:46:23+00:00,RT @Tesla: Playing Cyberpunk in Model S Plaid https://t.co/y9Ev4F6EaU,1404193457065787392,0,False
14,2021-06-13 17:42:54+00:00,"@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.

When there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions.",1404132183254523905,54286,Hot
15,2021-06-13 17:36:03+00:00,"@ajtourville The Plaid carbon-wrapped motor is arguably the most advanced motor on Earth outside of maybe a lab somewhere. We have to keep some secrets! 

We have a few ideas for increasing torque &amp; max rpm even further for new Roadster. Definitely fun &amp; exciting engineering ahead!",1404130459924135944,8282,Hot
16,2021-06-13 17:27:59+00:00,"@ajtourville Main advantage of this is a much stronger EM field compared with a rotor that is held together by metal (usually high strength steel). 

Other advantage is that rotor can go to higher RPM, as carbon sleeve (mostly) stops copper rotor from expanding due to radial acceleration.",1404128430585618433,3451,Hot
17,2021-06-13 17:21:58+00:00,"@ajtourville Fiber is wound over rotor at high tension load. Machine to do this was made by Tesla Automation.

Carbon sleeve must put copper rotor in compression or it loosens at low temp due to differential thermal expansion. 

Preload is also helpful for maintaining precise gap to stator.",1404126913791021056,6100,Hot
18,2021-06-13 17:12:51+00:00,@AlternateJones True,1404124622224723972,17245,Hot
19,2021-06-13 06:42:00+00:00,@PPathole Deriving moments of inertia from first principles,1403965862327902215,9862,Hot
20,2021-06-13 06:20:10+00:00,Esoteric meme of the day https://t.co/ELGmeLEXRE,1403960366703337476,165723,Hot
21,2021-06-13 03:46:48+00:00,@BrianNorgard Physics should be taught with the majesty &amp; beauty it deserves,1403921772068556801,10868,Hot
22,2021-06-13 03:44:35+00:00,@BrianNorgard Physics is simply the search for truth. Nothing is more rigorous.,1403921214234447890,65071,Hot
23,2021-06-12 11:24:18+00:00,@SawyerMerritt Jay is awesome!,1403674517185077251,9711,Hot
24,2021-06-12 00:09:33+00:00,"RT @Teslarati: Did you catch Tesla's awesome new Model S Plaid badge? Check it out! 
Photo via @klwtts 
https://t.co/tMo4WdK7Vf https://t.c…",1403504711718735874,0,False
25,2021-06-11 20:32:39+00:00,@Teslarati @KlenderJoey At last!,1403450126975201280,13559,Hot
26,2021-06-11 06:40:03+00:00,Plaid release event https://t.co/TxIHXnuw9A,1403240595582111744,53849,Hot
27,2021-06-11 04:47:43+00:00,"Most amount of fun on 4 wheels!
Pure joy on tap whenever u want.",1403212326199644166,54482,Hot
28,2021-06-11 04:45:32+00:00,Order Tesla Model S Plaid at https://t.co/LuUhICqQEI,1403211775760224257,90618,Hot
29,2021-06-11 04:39:19+00:00,@RationalEtienne @lexfridman @woodhaus2 Haha,1403210213272870917,3141,Hot
